upc,title,category,price_incl_tax,price_excl_tax,tax,stock_count,rating,num_reviews,url
a897fe39b1053632,A Light in the Attic,Poetry,51.77,51.77,0.0,22,3,0,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
90fa61229261140a,Tipping the Velvet,Historical Fiction,53.74,53.74,0.0,20,1,0,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
6957f44c3847a760,Soumission,Fiction,50.1,50.1,0.0,20,1,0,https://books.toscrape.com/catalogue/soumission_998/index.html
e00eb4fd7b871a48,Sharp Objects,Mystery,47.82,47.82,0.0,20,4,0,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
4165285e1663650f,Sapiens: A Brief History of Humankind,History,54.23,54.23,0.0,20,5,0,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
f77dbf2323deb740,The Requiem Red,Young Adult,22.65,22.65,0.0,19,1,0,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,33.34,0.0,19,4,0,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,17.93,0.0,19,3,0,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,22.6,0.0,19,4,0,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
1dfe412b8ac00530,The Black Maria,Poetry,52.15,52.15,0.0,19,1,0,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,13.99,0.0,19,2,0,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
30a7f60cd76ca58c,Shakespeare's Sonnets,Poetry,20.66,20.66,0.0,19,4,0,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
ce6396b0f23f6ecc,Set Me Free,Young Adult,17.46,17.46,0.0,19,5,0,https://books.toscrape.com/catalogue/set-me-free_988/index.html
3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,52.29,0.0,19,5,0,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
a34ba96d4081e6a4,Rip it Up and Start Again,Music,35.02,35.02,0.0,19,5,0,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,57.25,0.0,19,3,0,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
feb7cc7701ecf901,Olio,Poetry,23.88,23.88,0.0,19,1,0,https://books.toscrape.com/catalogue/olio_984/index.html
e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,37.59,0.0,19,1,0,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
a18a4f574854aced,Libertarianism for Beginners,Politics,51.33,51.33,0.0,19,2,0,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
a22124811bfa8350,It's Only the Himalayas,Travel,45.17,45.17,0.0,19,2,0,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
23356462d1320d61,In Her Wake,Thriller,12.84,12.84,0.0,19,1,0,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
327f68a59745c102,How Music Works,Music,37.32,37.32,0.0,19,2,0,https://books.toscrape.com/catalogue/how-music-works_979/index.html
5674a18a29a43ced,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,30.52,0.0,19,3,0,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
c2e46a2ee3b4a322,Chase Me (Paris Nights #2),Romance,25.27,25.27,0.0,19,5,0,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
00bfed9e18bb36f3,Black Dust,Romance,34.53,34.53,0.0,19,5,0,https://books.toscrape.com/catalogue/black-dust_976/index.html
9528d0948525bf5f,Birdsong: A Story in Pictures,Childrens,54.64,54.64,0.0,19,3,0,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,22.5,0.0,19,3,0,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
904208d6aa64b655,Aladdin and His Wonderful Lamp,Default,53.13,53.13,0.0,19,3,0,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
4c28def39d850cdf,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,40.3,0.0,18,5,0,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
ccd9ffa25efabdea,Wall and Piece,Art,44.18,44.18,0.0,18,4,0,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,17.66,0.0,18,5,0,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
3c039985229453bf,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,31.05,0.0,18,3,0,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
5dada2b7be26bd03,The Elephant Tree,Thriller,23.82,23.82,0.0,18,5,0,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
9f6568e9c95f60b0,The Bear and the Piano,Childrens,36.89,36.89,0.0,18,1,0,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
6be3beb0793a53e7,Sophie's World,Philosophy,15.94,15.94,0.0,18,5,0,https://books.toscrape.com/catalogue/sophies-world_966/index.html
668fe56b17cfcd4f,Penny Maybe,Default,33.29,33.29,0.0,18,3,0,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
094b269567e1c300,Maude (1883-1993):She Grew Up with the country,Default,18.02,18.02,0.0,18,2,0,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
19ed25f4641d5efd,"In a Dark, Dark Wood",Mystery,19.63,19.63,0.0,18,1,0,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
be5cc846f45496fb,Behind Closed Doors,Thriller,52.22,52.22,0.0,18,4,0,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
55f9da0c5eea2e10,You can't bury them all: Poems,Poetry,33.63,33.63,0.0,17,2,0,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
b4fd5943413e089a,Slow States of Collapse: Poems,Poetry,57.31,57.31,0.0,17,3,0,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
c8f7f0cb1abb9cac,Reasons to Stay Alive,Nonfiction,26.41,26.41,0.0,17,2,0,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
b12b89017878a60d,Private Paris (Private #10),Fiction,47.61,47.61,0.0,17,5,0,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
c27f6e1f185b0383,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,23.11,0.0,17,5,0,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
acddfeab2a407640,Without Borders (Wanderlove #1),New Adult,45.07,45.07,0.0,16,2,0,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
3ecb690d1542c568,When We Collided,Contemporary,31.77,31.77,0.0,16,1,0,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
8d455c7539795d2a,"We Love You, Charlie Freeman",Fiction,50.27,50.27,0.0,16,5,0,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
657fe5ead67a7767,Untitled Collection: Sabbath Poems 2014,Poetry,14.27,14.27,0.0,16,4,0,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
d170b5a0da46380e,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,44.18,0.0,16,4,0,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
